!!SBtab	Document='MGluR' TableName='Compound' TableType='Compound' TableTitle='MGLuR Compounds'								
!ID	!Name	!Unit	!InitialValue	!IsConstant	!Assignment	!Interpolation	!Type	!Location	!ReferenceDOI
S0	Glu	nanomolarity	0	1	Glu_expression	1	kinetic	Neuron	
S1	mGluR	nanomolarity	1000	0	0	0	kinetic	Neuron	
S2	mGluR_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S3	mGluR_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S4	mGluR_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S5	Glu_mGluR	nanomolarity	0	0	0	0	kinetic	Neuron	
S6	Glu_mGluR_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S7	Glu_mGluR_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S8	Glu_mGluR_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S9	DHPG	nanomolarity	0	1	DHPG_expression	1	kinetic	Neuron	
S10	DHPG_mGluR	nanomolarity	0	0	0	0	kinetic	Neuron	
S11	DHPG_mGluR_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S12	DHPG_mGluR_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S13	DHPG_mGluR_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S14	ACh	nanomolarity	0	1	ACh_expression	1	kinetic	Neuron	
S15	M1R	nanomolarity	1000	0	0	0	kinetic	Neuron	
S16	M1R_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S17	M1R_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S18	M1R_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S19	ACh_M1R	nanomolarity	0	0	0	0	kinetic	Neuron	
S20	ACh_M1R_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S21	ACh_M1R_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S22	ACh_M1R_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S23	OxoM	nanomolarity	0	1	OxoM_expression	1	kinetic	Neuron	
S24	OxoM_M1R	nanomolarity	0	0	0	0	kinetic	Neuron	
S25	OxoM_M1R_Gqabc	nanomolarity	0	0	0	0	kinetic	Neuron	
S26	OxoM_M1R_Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S27	OxoM_M1R_Gqabc_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S28	Gqabc	nanomolarity	3500	0	0	0	kinetic	Neuron	
S29	Gqbc	nanomolarity	0	0	0	0	kinetic	Neuron	
S30	GqaGTP	nanomolarity	0	0	0	0	kinetic	Neuron	
S31	GqaGDP	nanomolarity	0	0	0	0	kinetic	Neuron	
S32	PLC	nanomolarity	190	0	0	0	kinetic	Neuron	
S33	GqaGTP_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S34	GqaGDP_PLC	nanomolarity	0	0	0	0	kinetic	Neuron	
S35	PI	nanomolarity	140000	0	0	0	kinetic	Neuron	
S36	PIP	nanomolarity	0	0	0	0	kinetic	Neuron	
S37	PIP2	nanomolarity	0	0	0	0	kinetic	Neuron	
S38	IP3	nanomolarity	0	0	0	0	kinetic	Neuron	
S39	DAG	nanomolarity	0	0	0	0	kinetic	Neuron	
S40	PH	nanomolarity	3	0	0	0	kinetic	Neuron	
S41	PIP2_PH	nanomolarity	0	0	0	0	kinetic	Neuron	
S42	IP3_PH	nanomolarity	0	0	0	0	kinetic	Neuron	
S43	KCNQ	nanomolarity	4	0	0	0	kinetic	Neuron	
S44	PIP2_KCNQ	nanomolarity	0	0	0	0	kinetic	Neuron	
S45	I	nanomolarity	0	0	0	0	kinetic	Neuron	
S46	PA	nanomolarity	0	0	0	0	kinetic	Neuron	
S47	CDPDAG	nanomolarity	0	0	0	0	kinetic	Neuron	
